date,1. open,2. high,3. low,4. close,5. volume
2021-03-02 20:00:00,689.9999,690.45,687.0,688.79,61964.0
2021-03-02 19:00:00,687.4,690.69,687.4,689.6,50997.0
2021-03-02 18:00:00,687.0,687.94,686.01,687.45,54229.0
2021-03-02 17:00:00,686.05,689.9,685.57,687.6,291327.0
2021-03-02 16:00:00,695.0299,695.36,685.0,686.05,3440518.0
2021-03-02 15:00:00,699.5,700.75,690.12,695.0,2883782.0
2021-03-02 14:00:00,702.0355,703.5219,697.79,699.65,1963619.0
2021-03-02 13:00:00,703.13,707.5,698.6,702.03,2403523.0
2021-03-02 12:00:00,710.44,712.7499,700.33,703.2292,3474881.0
2021-03-02 11:00:00,708.3,716.0,705.67,710.82,4207620.0
2021-03-02 10:00:00,716.5,721.11,701.8441,708.418,3932147.0
2021-03-02 09:00:00,712.5671,721.4899,710.0,716.06,144433.0
2021-03-02 08:00:00,711.0,723.35,710.0,719.0,187156.0
2021-03-02 07:00:00,707.75,710.31,706.75,709.93,21031.0
2021-03-02 06:00:00,702.49,709.0,702.49,708.54,21747.0
2021-03-02 05:00:00,716.5,716.5,698.02,703.0,101349.0
2021-03-01 20:00:00,722.55,725.44,722.5,725.2499,71018.0
2021-03-01 19:00:00,721.9,723.3,721.65,722.6,67110.0
2021-03-01 18:00:00,721.64,721.89,718.5,721.49,63205.0
2021-03-01 17:00:00,718.43,724.0,716.82,721.75,464441.0
2021-03-01 16:00:00,711.82,719.0,710.6501,718.43,3680694.0
2021-03-01 15:00:00,706.23,713.49,704.3027,711.89,2337774.0
2021-03-01 14:00:00,712.82,713.7678,705.31,706.26,2055059.0
2021-03-01 13:00:00,711.84,718.0,710.4,712.676,2588097.0
2021-03-01 12:00:00,711.0,717.0,709.24,711.8052,3747431.0
2021-03-01 11:00:00,695.54,712.85,692.12,710.82,6499148.0
2021-03-01 10:00:00,689.32,698.0,685.05,695.49,4490383.0
2021-03-01 09:00:00,691.5,691.6,686.32,689.0,164620.0
2021-03-01 08:00:00,693.28,693.28,686.32,689.0,164240.0
2021-03-01 07:00:00,693.83,695.5,689.85,693.72,26319.0
